family,species_key,a0,a1,a2,a3,a4,a5
B0,B(OH)4-|K+,0.035,0.0,0.0,0.0,0.0,0.0
B0,B(OH)4-|Na+,-0.0427,0.0,0.0,0.0,0.0,0.0
B0,B3O3(OH)4-|K+,-0.13,0.0,0.0,0.0,0.0,0.0
B0,B3O3(OH)4-|Na+,-0.056,0.0,0.0,0.0,0.0,0.0
B0,B4O5(OH)4--|K+,-0.022,0.0,0.0,0.0,0.0,0.0
B0,B4O5(OH)4--|Na+,-0.11,0.0,0.0,0.0,0.0,0.0
B0,Ba++|Br-,0.31455,0.0,0.0,-0.00033825,0.0,0.0
B0,Ba++|Cl-,0.5268,0.0,0.0,0.0,0.0,47500.0
B0,Ba++|OH-,0.17175,0.0,0.0,0.0,0.0,0.0
B0,Br-|H+,0.196,0.0,0.0,-0.0002049,0.0,0.0
B0,Br-|K+,0.0569,0.0,0.0,0.000739,0.0,0.0
B0,Br-|Li+,0.1748,0.0,0.0,-0.0001819,0.0,0.0
B0,Br-|Mg++,0.4327,0.0,0.0,-5.625e-05,0.0,0.0
B0,Br-|Na+,0.0973,0.0,0.0,0.0007692,0.0,0.0
B0,Br-|Sr++,0.331125,0.0,0.0,-0.00032775,0.0,0.0
B0,Br-|Ca++,0.3816,0.0,0.0,-0.00052275,0.0,0.0
B0,Ca++|Cl-,0.3159,0.0,0.0,-0.000327,1.4e-07,0.0
B0,Ca++|HCO3-,0.4,0.0,0.0,0.0,0.0,0.0
B0,Ca++|HSO4-,0.2145,0.0,0.0,0.0,0.0,0.0
B0,Ca++|OH-,-0.1747,0.0,0.0,0.0,0.0,0.0
B0,Ca++|SO4--,0.0,0.0,0.0,0.0,0.0,0.0
B0,CaB(OH)4+|Cl-,0.12,0.0,0.0,0.0,0.0,0.0
B0,Cl-|Fe++,0.335925,0.0,0.0,0.0,0.0,0.0
B0,Cl-|H+,0.1775,0.0,0.0,-0.0003081,0.0,0.0
B0,Cl-|K+,0.04808,-758.48,-4.7062,0.010072,-3.7599e-06,0.0
B0,Cl-|Li+,0.1494,0.0,0.0,-0.0001685,0.0,0.0
B0,Cl-|Mg++,0.351,0.0,0.0,-0.000932,5.94e-07,0.0
B0,Cl-|MgB(OH)4+,0.16,0.0,0.0,0.0,0.0,0.0
B0,Cl-|MgOH+,-0.1,0.0,0.0,0.0,0.0,0.0
B0,Cl-|Mn++,0.327225,0.0,0.0,0.0,0.0,0.0
B0,Cl-|Na+,0.07534,9598.4,35.48,-0.058731,1.798e-05,-500000.0
B0,Cl-|Sr++,0.2858,0.0,0.0,0.000717,0.0,0.0
B0,CO3--|K+,0.1488,0.0,0.0,0.001788,0.0,0.0
B0,CO3--|Na+,0.0399,0.0,0.0,0.00179,0.0,0.0
B0,Fe++|HSO4-,0.4273,0.0,0.0,0.0,0.0,0.0
B0,Fe++|SO4--,0.2568,0.0,0.0,0.0,0.0,0.0
B0,H+|HSO4-,0.2065,0.0,0.0,0.0,0.0,0.0
B0,H+|SO4--,0.0298,0.0,0.0,0.0,0.0,0.0
B0,HCO3-|K+,0.0296,0.0,0.0,0.000996,0.0,0.0
B0,HCO3-|Mg++,0.329,0.0,0.0,0.0,0.0,0.0
B0,HCO3-|Na+,-0.018,0.0,0.0,-0.00023,0.0,0.0
B0,HCO3-|Sr++,0.12,0.0,0.0,0.0,0.0,0.0
B0,HSO4-|K+,-0.0003,0.0,0.0,0.0,0.0,0.0
B0,HSO4-|Mg++,0.4746,0.0,0.0,0.0,0.0,0.0
B0,HSO4-|Na+,0.0454,0.0,0.0,0.0,0.0,0.0
B0,K+|OH-,0.1298,0.0,0.0,0.0,0.0,0.0
B0,K+|SO4--,0.0317,0.0,0.0,0.000928,0.0,0.0
B0,Li+|OH-,0.015,0.0,0.0,0.0,0.0,0.0
B0,Li+|SO4--,0.136275,0.0,0.0,0.0005055,0.0,0.0
B0,Mg++|SO4--,0.2135,-951.0,0.0,-0.0234,2.28e-05,0.0
B0,Mn++|SO4--,0.2065,0.0,0.0,0.0,0.0,0.0
B0,Na+|OH-,0.0864,0.0,0.0,0.0007,0.0,0.0
B0,Na+|SO4--,0.0273,0.0,-5.8,0.00989,0.0,-156300.0
B0,SO4--|Sr++,0.2,0.0,0.0,-0.0029,0.0,0.0
B1,B(OH)4-|K+,0.14,0.0,0.0,0.0,0.0,0.0
B1,B(OH)4-|Na+,0.089,0.0,0.0,0.0,0.0,0.0
B1,B3O3(OH)4-|Na+,-0.91,0.0,0.0,0.0,0.0,0.0
B1,B4O5(OH)4--|Na+,-0.4,0.0,0.0,0.0,0.0,0.0
B1,Ba++|Br-,1.56975,0.0,0.0,0.00678,0.0,0.0
B1,Ba++|Cl-,0.687,0.0,0.0,0.01417,0.0,0.0
B1,Ba++|OH-,1.2,0.0,0.0,0.0,0.0,0.0
B1,Br-|H+,0.3564,0.0,0.0,0.0004467,0.0,0.0
B1,Br-|K+,0.2212,0.0,0.0,0.00174,0.0,0.0
B1,Br-|Li+,0.2547,0.0,0.0,0.0006636,0.0,0.0
B1,Br-|Mg++,1.753,0.0,0.0,0.0038625,0.0,0.0
B1,Br-|Na+,0.2791,0.0,0.0,0.001079,0.0,0.0
B1,Br-|Sr++,1.7115,0.0,0.0,0.0065325,0.0,0.0
B1,Br-|Ca++,1.613,0.0,0.0,0.0060375,0.0,0.0
B1,Ca++|Cl-,1.614,0.0,0.0,0.00763,-8.19e-07,0.0
B1,Ca++|HCO3-,2.977,0.0,0.0,0.0,0.0,0.0
B1,Ca++|HSO4-,2.53,0.0,0.0,0.0,0.0,0.0
B1,Ca++|OH-,-0.2303,0.0,0.0,0.0,0.0,0.0
B1,Ca++|SO4--,3.546,0.0,0.0,0.00577,0.0,0.0
