set,index,value
furstParams,0,1.117e-07
furstParams,1,5.3771e-06
furstParams,2,6.99219e-05
furstParams,3,4.3984e-06
furstParams,4,-6.06e-08
furstParams,5,-2.1795e-05
furstParamsCPA,0,2.0322930407895611e-07
furstParamsCPA,1,1.4796183102626773e-06
furstParamsCPA,2,4.992083609956488e-05
furstParamsCPA,3,-0.00012057478550968262
furstParamsCPA,4,-2.063814025090759e-08
furstParamsCPA,5,-9.499001472075834e-05
furstParamsCPA,6,5.3997086496838356e-05
furstParamsCPA,7,-0.00016449162934393646
furstParamsCPA,8,-5.296869462418364e-08
furstParamsCPA,9,-6.011187378145861e-17
furstParamsCPA_MDEA,0,2.03e-07
furstParamsCPA_MDEA,1,1.48e-06
furstParamsCPA_MDEA,2,8e-05
furstParamsCPA_MDEA,3,-0.00015
furstParamsCPA_MDEA,4,1e-07
furstParamsCPA_MDEA,5,-9.5e-05
furstParamsCPA_MDEA,6,9.6e-05
furstParamsCPA_MDEA,7,-0.00018
furstParamsCPA_MDEA,8,-4.4e-08
furstParamsCPA_MDEA,9,-6e-17
furstParamsCPA_MEG,0,2.03e-07
furstParamsCPA_MEG,1,1.48e-06
furstParamsCPA_MEG,2,8e-05
furstParamsCPA_MEG,3,-0.000115
furstParamsCPA_MEG,4,-2.06e-08
furstParamsCPA_MEG,5,-9.5e-05
furstParamsCPA_MEG,6,9.6e-05
furstParamsCPA_MEG,7,-0.000138
furstParamsCPA_MEG,8,-4.4e-08
furstParamsCPA_MEG,9,-6e-17
furstParamsCPA_MeOH,0,2.03e-07
furstParamsCPA_MeOH,1,1.48e-06
furstParamsCPA_MeOH,2,6e-05
furstParamsCPA_MeOH,3,-8e-05
furstParamsCPA_MeOH,4,-2.06e-08
furstParamsCPA_MeOH,5,-9.5e-05
furstParamsCPA_MeOH,6,5e-05
furstParamsCPA_MeOH,7,-5e-05
furstParamsCPA_MeOH,8,-4.4e-08
furstParamsCPA_MeOH,9,-6e-17
furstParamsCPA_EtOH,0,2.03e-07
furstParamsCPA_EtOH,1,1.48e-06
furstParamsCPA_EtOH,2,9e-05
furstParamsCPA_EtOH,3,-0.00013
furstParamsCPA_EtOH,4,-2.06e-08
furstParamsCPA_EtOH,5,-9.5e-05
furstParamsCPA_EtOH,6,0.000108
furstParamsCPA_EtOH,7,-0.000156
furstParamsCPA_EtOH,8,-4.4e-08
furstParamsCPA_EtOH,9,-6e-17
furstParamsCPA_MEA,0,2.03e-07
furstParamsCPA_MEA,1,1.48e-06
furstParamsCPA_MEA,2,0.00013
furstParamsCPA_MEA,3,-0.00016
furstParamsCPA_MEA,4,-2.06e-08
furstParamsCPA_MEA,5,-9.5e-05
furstParamsCPA_MEA,6,0.000156
furstParamsCPA_MEA,7,-0.000192
furstParamsCPA_MEA,8,-4.4e-08
furstParamsCPA_MEA,9,-6e-17
furstParamsCPA_TEG,0,2.03e-07
furstParamsCPA_TEG,1,1.48e-06
furstParamsCPA_TEG,2,4.98e-05
furstParamsCPA_TEG,3,-0.000122
furstParamsCPA_TEG,4,-2.06e-08
furstParamsCPA_TEG,5,-9.5e-05
furstParamsCPA_TEG,6,5.4e-05
furstParamsCPA_TEG,7,-0.000172
furstParamsCPA_TEG,8,-4.4e-08
furstParamsCPA_TEG,9,-6e-17
furstParamsCPA_TDep,0,0.005
furstParamsCPA_TDep,1,-0.012
furstParamsCPA_TDep,2,1e-05
furstParamsCPA_TDep,3,-2.5e-05
furstParamsCPA_TDep,4,-2e-06
furstParamsCPA_TDep,5,0.008
furstParamsCPA_TDep,6,-4e-09
furstParamsCPA_TDep,7,1.5e-05
furstParamsCPA_TDep,8,0.0075
furstParamsCPA_TDep,9,-0.018
furstParamsCPA_TDep,10,1.5e-05
furstParamsCPA_TDep,11,-3.8e-05
furstParamsCPA_TDep,12,-3e-06
furstParamsCPA_TDep,13,0.012
furstParamsCPA_TDep,14,-6e-09
furstParamsCPA_TDep,15,2.3e-05
furstParamsGasIon,0,0.000127
furstParamsGasIon,1,0.000127
furstParamsGasIon,2,0.000105
furstParamsGasIon,3,0.000105
furstParamsGasIon,4,0.00011
furstParamsGasIon,5,0.00011
furstParamsGasIon,6,0.000115
furstParamsGasIon,7,0.000115
furstParamsGasIon,8,0.00012
furstParamsGasIon,9,0.00012
furstParamsGasIon,10,0.000125
furstParamsGasIon,11,0.000125
furstParamsGasIon,12,0.000105
furstParamsGasIon,13,0.000105
furstParamsGasIon,14,0.00011
furstParamsGasIon,15,0.00011
furstParamsGasIon,16,0.00013
furstParamsGasIon,17,0.00013
furstParamsOIIon,0,0.00015
furstParamsOIIon,1,0.00015
furstParamsOIIon,2,0.0
furstParamsOIIon,3,0.0
furstParamsOIIon,4,0.00013
furstParamsOIIon,5,0.00013
