component_a,component_b,hvtype,kijsrk,kijtsrk,kij_pr,kijtpr,kijpcsaft,hvalpha,hvgij,hvgji,wstype,nrtlalpha,nrtlgij,nrtlgji,gijvisc,hvgijt,hvgjit,wsgijt,wsgjit,cpakij_srk,cpakijt_srk,cpakijx_srk,cpakjix_srk,cpakij_pr,kijwsunifac,cpabetacross,cpaepscross,kijwhitsonsoriede
water,methane,HV,0.45,0.0,0.651,-1.385,0.0,0.15,-123.6011438,4875.094236,WS,0.0,26.6,-142.2,0.0,2.137853939,-6.549655038,0.0,0.0,-0.827413423,0.0026055,-0.827413423,-0.827413423,0.161199631,0.0,0.0,0.0,0.485
ethanol,methane,HV,0.13,0.0,0.13,0.0,0.0,0.395,1610.0,255.0,WS,0.0,521.5,-2.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
meg,methane,Classic,0.2,0.0,0.2,0.0,0.0,0.3656,2063.0,601.7,Classic,0.0,2063.0,601.7,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.131438242,0.07021285,0.134,0.0,0.0,0.0,0.2
deg,methane,Classic,0.2,0.0,0.2,0.0,0.0,0.3656,2063.0,601.7,Classic,0.0,2063.0,601.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
teg,methane,Classic,0.2,0.0,0.2,0.0,0.0,0.3656,2063.0,601.7,Classic,0.0,-328.6,-2.056,-15.0,0.0,0.0,0.0,0.0,0.13,0.0,0.162,0.13,0.0,0.0,0.0,0.0,0.2
nacl,methane,HV,2.02,0.0,2.02,0.0,0.0,0.084,7623.0,5281.0,WS,0.0,7623.0,5281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02
cacl2,methane,HV,2.07,0.0,2.07,0.0,0.0,0.055,8790.0,14765.0,WS,0.0,8790.0,14765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07
helium,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,methane,Classic,0.01,0.0,0.01,0.0,-0.0222,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01
nitrogen,methane,Classic,0.0319,0.0,0.0319,0.0,0.0311,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0311
argon,methane,Classic,0.0252,0.0,0.0252,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252,0.0,0.0252,0.0252,0.0252,0.0,0.0,0.0,0.0252
oxygen,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
co2,methane,Classic,0.0973,0.0,0.0973,0.0,0.051,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0973,0.0,0.0973,0.0973,0.0956,0.0,0.085,0.0,0.107
h2s,methane,Classic,0.085,0.0,0.08,0.0,0.033,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.08
ethane,methane,Classic,0.00295295,0.0,0.00295295,0.0,0.003,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00295295,0.0,0.00295295,0.00295295,0.00295295,0.0,0.0,0.0,0.0026
propane,methane,Classic,0.00747722,0.0,0.00747722,0.0,0.014,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00747722,0.0,0.00747722,0.00747722,0.00747722,0.0,0.0,0.0,0.014
c-propane,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i-butane,methane,Classic,0.01369935,0.0,0.01369935,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01369935
n-butane,methane,Classic,0.01289789,0.0,0.01289789,0.0,0.022,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133
c-c4,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i-pentane,methane,Classic,0.01817552,0.0,0.01817552,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01817552
n-pentane,methane,Classic,0.01847102,0.0,0.01847102,0.0,0.023,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236
2-m-c5,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-m-c5,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-hexane,methane,Classic,0.023474067,0.0,0.023474067,0.0,0.03,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0422
benzene,methane,Classic,0.0209,0.0,0.0,0.0,0.036,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,0.0,0.0209,0.0209,0.0,0.0,0.0,0.0,0.0
c-hexane,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223-tm-c4,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-heptane,methane,Classic,0.0307,0.0,0.0,0.0,0.028,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352
toluene,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-c7,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-c8,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mdea+,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3o+,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mdea,methane,Classic,0.599959902,0.0,0.646504377,0.0,0.0,0.122,2467.0,274.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646504377
hco3-,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oh-,methane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na+,methane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
cl-,methane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ca++,methane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
li+,methane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
