name,type,material,size_mm,surface_area_pr_volume,void_fraction,packing_factor,cp,ch
pallring,random,metal,50.000000000,112.600000000,0.951000000,85,0.763000000,2.725000000
pallring,random,metal,38.000000000,149.600000000,0.952000000,180,1.003000000,2.725000000
pallring,random,metal,35.000000000,139.400000000,0.965000000,180,0.967000000,2.725000000
pallring,random,metal,25.000000000,223.500000000,0.954000000,180,0.957000000,2.725000000
pallring,random,metal,15.000000000,368.400000000,0.933000000,180,0.990000000,2.725000000
pallring,random,plastic,50.000000000,111.100000000,0.919000000,180,0.698000000,2.725000000
rashigring,random,ceramic,25.000000000,185.400000000,0.662000000,180,1.329000000,2.725000000
Mellapak250X,structured,metal,250.000000000,250.000000000,0.950000000,8,0.000000000,0.000000000
RachigRingPacking,structured,metal,250.000000000,250.000000000,0.950000000,8,0.000000000,0.000000000
PallRingPacking,structured,metal,250.000000000,250.000000000,0.950000000,8,0.000000000,0.000000000
BerlSaddlePacking,structured,metal,250.000000000,250.000000000,0.950000000,8,0.000000000,0.000000000
IMTP,random,metal,25.000000000,226.000000000,0.970000000,134,1.050000000,2.520000000
IMTP,random,metal,40.000000000,151.000000000,0.970000000,79,1.050000000,2.520000000
IMTP,random,metal,50.000000000,102.000000000,0.980000000,56,1.050000000,2.520000000
IMTP,random,metal,70.000000000,72.000000000,0.980000000,36,1.050000000,2.520000000
BerlSaddle,random,ceramic,25.000000000,260.000000000,0.680000000,360,0.950000000,2.280000000
BerlSaddle,random,ceramic,38.000000000,165.000000000,0.700000000,220,0.950000000,2.280000000
BerlSaddle,random,ceramic,50.000000000,105.000000000,0.720000000,150,0.950000000,2.280000000
IntaloxSaddle,random,ceramic,25.000000000,255.000000000,0.780000000,200,1.000000000,2.400000000
Mellapak125Y,structured,metal,0.000000000,125.000000000,0.990000000,33,1.200000000,2.700000000
Mellapak250Y,structured,metal,0.000000000,250.000000000,0.980000000,66,1.200000000,2.700000000
Mellapak350Y,structured,metal,0.000000000,350.000000000,0.970000000,105,1.200000000,2.700000000
Mellapak500Y,structured,metal,0.000000000,500.000000000,0.960000000,180,1.200000000,2.700000000
Flexipac1Y,structured,metal,0.000000000,135.000000000,0.990000000,36,1.150000000,2.640000000
Flexipac2Y,structured,metal,0.000000000,220.000000000,0.980000000,60,1.150000000,2.640000000
Flexipac3Y,structured,metal,0.000000000,340.000000000,0.970000000,100,1.150000000,2.640000000
SulzerBX,structured,metal,0.000000000,500.000000000,0.900000000,140,1.300000000,3.000000000
SulzerCY,structured,metal,0.000000000,750.000000000,0.880000000,220,1.300000000,3.000000000
