name,o,n,c,h,s,na,ar,z,hf298,gf298,sf298,citation
CO2,2,0,1,0,0,0,0,0,-393.51,-394.4,213.79,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
CO,1,0,1,0,0,0,0,0,-110.53,-137.2,197.66,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
water,1,0,0,2,0,0,0,0,-241.83,-228.6,188.83,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
hydrogen,0,0,0,2,0,0,0,0,0.0,0.0,130.68,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
oxygen,2,0,0,0,0,0,0,0,0.0,0.0,205.15,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
NO2,2,1,0,0,0,0,0,0,33.1,51.3,240.06,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
N2O4,4,2,0,0,0,0,0,0,9.079,97.787,304.376,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
nitrogen,0,2,0,0,0,0,0,0,0.0,0.0,191.61,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
ammonia,0,1,0,3,0,0,0,0,-45.94,-16.4,192.45,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
S8,0,0,0,0,8,0,0,0,100.42,48.17,430.31,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
