name,ag,bg,cg,dg,eg,fg,ah,bh,ch,dh,eh,gh,citation
nitric acid,-1.34e-14,7.82e-11,-1.8e-07,0.000169,0.135,-125.0,-1.64e-15,1.33e-11,-4.34e-08,7.15e-05,-0.0511,-124.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
CO2,-2.63e-16,1.48e-12,-3.29e-09,4.57e-06,-0.0052,-393.0,-6.29e-16,3.17e-12,-5.4e-09,3.09e-06,-0.0017,-393.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
water,-2.61e-15,1.59e-11,-3.82e-08,4.76e-05,0.0239,-239.0,1.79e-16,-1.76e-12,5.21e-09,3.46e-06,-0.00903,-239.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
methane,-6.92e-15,4.34e-11,-1.08e-07,0.000134,0.0236,-67.3,4.67e-15,-2.76e-11,5.66e-08,-3.63e-05,-0.0202,-67.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
CO,4.86e-15,-2.84e-11,6.18e-08,-5.89e-05,-0.0662,-114.0,1.81e-16,-3.1e-12,1.39e-08,-2.72e-05,0.0181,-114.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
NO2,-3.7e-15,2.18e-11,-4.82e-08,4.92e-05,0.0411,35.7,2.74e-16,-2.07e-13,-4.75e-09,1.42e-05,-0.0135,36.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
H2S,1.6e-14,-9.39e-11,1.8e-07,-8.76e-05,-0.0366,-18.4,-7e-14,3e-10,-4e-07,8e-05,0.0051,-19.3,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
sulfuric acid,-2.63e-15,1.19e-11,-3.74e-08,0.000106,0.207,-723.0,-8e-14,4e-10,-5e-07,0.0003,-0.0753,-723.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
S8,1.13e-13,-7.8e-10,1.58e-06,-0.000987,0.0174,97.3,-6e-13,3e-09,-4e-06,0.0011,-0.0203,92.8,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
ammonia,-7.33e-15,4.44e-11,-1.04e-07,0.000119,0.0492,-39.3,2e-15,-9e-12,2e-08,9e-07,-0.0249,-38.9,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
SO2,1.51e-14,-8.99e-11,1.76e-07,-9.26e-05,-0.00143,-295.0,-8e-14,3e-10,-4e-07,0.0001,0.0001,-296.0,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
N2O4,-2e-15,2e-11,-6e-08,8e-05,0.257,16.3,-2e-15,2e-11,-5e-08,9e-05,-0.0524,18.349,"NeqSim master (f0c7436) GibbsReactDatabase.csv + DatabaseGibbsFreeEnergyCoeff.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
