name,molar_mass_kg_per_mol,compression_factor_0c,compression_factor_15c,compression_factor_20c,summation_factor_0c,summation_factor_15c,summation_factor_20c,superior_calorific_value_j_per_mol_0c,superior_calorific_value_j_per_mol_15c,superior_calorific_value_j_per_mol_20c,superior_calorific_value_j_per_mol_25c,superior_calorific_value_j_per_mol_60f,inferior_calorific_value_j_per_mol_0c,inferior_calorific_value_j_per_mol_15c,inferior_calorific_value_j_per_mol_20c,inferior_calorific_value_j_per_mol_25c,inferior_calorific_value_j_per_mol_60f,carbon_count,citation
1-butene,0.056108,0.965,0.97,0.972,0.1871,0.1732,0.1673,2721550.0,2718700.0,2717750.0,2716820.0,2718590.0,2541250.0,2540970.0,2540860.0,2540760.0,2540960.0,3,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
1-pentene,0.070134,0.938,0.949,0.952,0.249,0.2258,0.2191,3381290.0,3377750.0,3376570.0,3375420.0,3377750.0,3155920.0,3155590.0,3155450.0,3155340.0,3155590.0,3,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
2-m-c5,0.086177,0.898,0.914,0.926,0.3194,0.2933,0.272,4195610.0,4190620.0,4188950.0,4187319.9999999995,4190430.0000000005,3880090.0,3879590.0,3879380.0,3879210.0,3879570.0,6,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
22-dim-c3,0.07215,0.943,0.955,0.959,0.2387,0.2121,0.2025,3521720.0,3517430.0,3516010.0,3514610.0,3517270.0,3251280.0,3250830.0,3250670.0,3250510.0,3250810.0,5,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
22-dim-c4,0.086177,0.916,0.931,0.935,0.2898,0.2627,0.255,4185840.0,4180830.0,4179149.9999999995,4177520.0000000005,4180640.0000000005,3870320.0,3869800.0,3869590.0,3869410.0,3869780.0,6,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
23-dim-c4,0.086177,0.91,0.925,0.934,0.3,0.2739,0.2569,4193630.0,4188600.0000000005,4186930.0000000005,4185279.9999999995,4188410.0,3878110.0,3877570.0,3877360.0,3877170.0,3877550.0,6,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
3-m-c5,0.086177,0.898,0.917,0.928,0.3194,0.2881,0.2683,4198240.0,4193220.0000000005,4191540.0,4189899.9999999995,4193029.9999999995,3882720.0,3882190.0,3881970.0,3881790.0,3882170.0,6,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
ammonia,0.0170306,0.985,0.988,0.989,0.1225,0.1095,0.1049,384570.0,383510.0,383160.0,382810.0,383510.0,316960.0,316860.0,316820.0,316790.0,316860.0,0,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
argon,0.039948,0.999,0.9992,0.9993,0.0316,0.0283,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
benzene,0.078114,0.909,0.926,0.936,0.3017,0.272,0.253,3305030.0,3302860.0,3302150.0,3301430.0,3302860.0,3169810.0,3169560.0,3169480.0,3169380.0,3169560.0,6,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
c-c5,0.070134,0.935,0.947,0.95,0.255,0.2302,0.2236,3326140.0,3322190.0,3320880.0,3319590.0,3322190.0,3100770.0,3100030.0,3099760.0,3099510.0,3100030.0,5,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
c-hexane,0.084161,0.897,0.918,0.924,0.3209,0.2864,0.2757,3960670.0,3956020.0,3954470.0,3952960.0,3956020.0,3690230.0,3689420.0,3689130.0,3688860.0,3689420.0,6,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
co2,0.04401,0.9933,0.9944,0.9947,0.0819,0.0748,0.0728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
e-cy-c5,0.098188,0.841,0.876,0.885,0.3987,0.3521,0.3391,4637270.0,4631950.0,4630190.0,4628470.0,4631950.0,4321750.0,4320920.0,4320630.0,4320360.0,4320920.0,6,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
ethane,0.03007,0.99,0.9915,0.992,0.1,0.0922,0.0894,1564340.0,1562140.0,1561410.0,1560690.0,1562060.0,1429120.0,1428840.0,1428740.0,1428640.0,1428830.0,2,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
ethylbenzene,0.106167,0.764,0.823,0.837,0.4858,0.4207,0.4037,4613140.0,4609530.0,4608320.0,4607150.0,4609530.0,4387770.0,4387370.0,4387200.0,4387070.0,4387370.0,8,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
ethylcyclohexane,0.11221500000000001,0.77,0.824,0.838,0.4796,0.4195,0.4025,5272880.0,5266950.0,5264980.0,5263050.0,5266950.0,4912290.0,4911490.0,4911190.0,4910920.0,4911490.0,7,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
ethylene,0.028054,0.9925,0.9936,0.994,0.0866,0.08,0.0775,1413510.0,1412110.0,1411650.0,1411180.0,1412060.0,1323360.0,1323240.0,1323200.0,1323150.0,1323240.0,3,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
h2s,0.034082,0.99,0.99,0.99,0.1,0.1,0.1,562940.0,562380.0,562190.0,562010.0,562380.0,517870.0,517950.00000000006,517970.0,517990.0,517950.00000000006,0,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
helium,0.0040026,1.0005,1.0005,1.0005,0.0006,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"NeqSim master (f0c7436) ISO6976constants.csv (Equinor/NTNU), Apache-2.0, retrieved 2026-09-21"
